Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,54.970001,54.999997,53.900001,53.939995,23698700,22.702018
2014-01-03,54.089999,54.189995,53.189999,53.259998,22783900,22.415824
2014-01-06,52.400001,52.459998,51.209998,51.779997,42542300,21.792928
2014-01-07,52.389999,53.029997,51.979997,52.869995,33442200,22.251682
2014-01-08,52.959998,53.619996,52.169995,52.369995,30967600,22.041244
2014-01-09,52.749996,52.809998,51.830002,52.07,25015000,21.914983
2014-01-10,51.900001,52.200001,51.109998,52.159998,47645500,21.952861
2014-01-13,52.119995,52.909998,51.789999,52.539999,45269700,22.112794
2014-01-14,52.650001,53.089999,52.339999,52.959998,30515000,22.289562
2014-01-15,53.22,54.159999,53.109998,53.789999,32937800,22.638889
2014-01-16,53.779998,54.159999,53.599997,53.739999,26769700,22.617845
2014-01-17,53.409998,53.929998,52.979997,53.200001,53988400,22.390573
2014-01-21,53.999997,54.200001,53.509998,54.150001,37900100,22.790405
2014-01-22,53.839999,54.509999,53.779998,54.409999,84250300,22.899831
2014-01-23,55.720001,55.900002,53.999997,54.939995,147062000,23.122894
2014-01-24,54.549997,54.949997,53.859998,54.369996,58213700,22.882995
2014-01-27,53.799997,54.309999,52.77,52.879997,53315300,22.255891
2014-01-28,53.089999,53.619996,52.859998,53.159998,30692000,22.373737
2014-01-29,52.809998,52.950001,52.049996,52.189999,39363000,21.965488
2014-01-30,52.609998,53.349997,52.439999,53.179997,39527600,22.382154
2014-01-31,52.589999,53.619996,52.299996,53.200001,29364500,22.390573
2014-02-03,53.139999,53.339999,52.109998,52.389999,40047500,22.049663
2014-02-04,52.559998,53.139999,52.479997,52.909998,26067300,22.268518
2014-02-05,52.289999,54.039999,52.039999,53.52,39837900,22.525253
2014-02-06,53.659998,54.529998,53.52,54.369996,35941500,22.882995
2014-02-07,54.450001,54.74,53.839999,54.59,23157400,22.975589
2014-02-10,54.47,54.479998,53.429997,53.779998,22988500,22.634679
2014-02-11,54.049997,54.429998,53.450001,54.309999,27745500,22.857744
2014-02-12,54.27,54.900001,54.159999,54.830002,27262500,23.0766
